Change Physical Footprint: Designator=C403 Old Footprint=C0603 New Footprint=C0603
Change Physical Footprint: Designator=C500 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=C601 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=C603 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=C604 Old Footprint=C0402 New Footprint=C0402
Change Physical Footprint: Designator=L400 Old Footprint=L0805 New Footprint=L0805
Change Physical Footprint: Designator=R403 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R405 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R602 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R603 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R604 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R606 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R607 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R608 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=SJ500 Old Footprint=SOLDERING_JOINT New Footprint=SOLDERING_JOINT
Change Physical Footprint: Designator=SJ501 Old Footprint=SOLDERING_JOINT New Footprint=SOLDERING_JOINT
Change Physical Footprint: Designator=SMA300 Old Footprint=SMA_STRAIGHT_CONN New Footprint=SMA_STRAIGHT_CONN
Change Physical Footprint: Designator=TVS401 Old Footprint=SOD-923 New Footprint=SOD-923
Change Physical Footprint: Designator=U300 Old Footprint=QFN24 New Footprint=QFN24
Change Physical Footprint: Designator=U400 Old Footprint=UFQFPN32 New Footprint=UFQFPN32
Change Physical Footprint: Designator=U600 Old Footprint=LGA10 New Footprint=LGA10
